weekday,time,sudo,household,pur,trip,gender,ln_dis,ln_time
1,0,0,4,1,1,1,3.36729583,3.610917913
1,1,0,4,1,1,0,1.098612289,2.772588722
1,1,1,3,5,1,0,1.098612289,2.995732274
1,1,0,4,7,1,1,1.945910149,2.708050201
1,1,0,4,5,1,1,1.945910149,3.401197382
1,1,1,3,5,1,1,2.708050201,2.995732274
1,0,0,5,5,1,0,2.079441542,2.772588722
1,1,0,3,1,1,0,1.945910149,2.995732274
1,1,0,4,5,1,0,2.397895273,3.218875825
1,1,1,1,1,1,0,2.197224577,2.995732274
1,1,0,4,10,1,0,1.609437912,3.401197382
1,1,0,4,4,1,0,2.772588722,2.772588722
1,1,0,4,1,1,1,1.791759469,1.945910149
1,1,0,3,5,1,0,3.401197382,3.912023005
1,0,0,2,4,1,0,1.098612289,2.302585093
1,0,0,1,4,1,1,2.302585093,2.995732274
0,0,0,4,5,1,1,3.401197382,3.737669618
1,1,0,4,8,1,0,0.693147181,2.197224577
1,1,1,3,1,1,0,0.693147181,2.302585093
1,1,0,4,1,1,1,1.945910149,2.995732274
1,1,0,4,1,1,1,1.945910149,2.995732274
1,1,1,3,1,1,1,2.708050201,2.995732274
1,0,0,5,8,1,0,1.609437912,2.890371758
1,0,0,3,7,1,0,1.386294361,2.708050201
1,1,0,4,1,1,0,2.197224577,3.218875825
1,1,1,1,5,1,0,2.197224577,3.218875825
1,0,0,4,5,1,0,0.693147181,2.995732274
1,0,0,4,5,1,0,2.833213344,2.833213344
1,0,0,4,11,1,1,2.302585093,2.302585093
1,1,0,3,1,1,0,3.401197382,3.688879454
1,0,0,2,10,1,0,0.693147181,2.302585093
1,0,0,1,4,1,1,1.791759469,3.401197382
0,1,0,4,8,1,1,1.791759469,2.708050201
1,1,0,4,5,1,0,1.098612289,2.708050201
1,0,1,3,5,1,0,0.693147181,2.302585093
1,1,0,4,5,1,1,2.48490665,3.555348061
1,1,0,4,5,1,1,1.945910149,3.401197382
1,1,1,3,5,1,1,2.772588722,3.218875825
1,0,0,5,5,1,0,0,1.386294361
1,0,0,3,5,1,0,2.079441542,3.555348061
1,0,0,4,4,1,0,2.995732274,3.688879454
1,1,1,1,1,1,0,2.197224577,2.708050201
1,0,0,4,10,1,0,2.079441542,3.688879454
1,1,0,4,1,1,0,2.944438979,3.091042453
1,0,0,4,6,1,1,2.197224577,2.302585093
1,1,0,3,5,1,0,3.401197382,4.094344562
1,1,0,2,5,1,0,1.609437912,2.302585093
1,0,0,1,5,1,1,1.386294361,2.995732274
0,0,0,4,5,1,1,1.386294361,2.302585093
1,1,0,4,1,1,0,1.098612289,2.397895273
1,0,1,3,0,0,0,0,0
1,1,0,4,4,1,1,3.36729583,4.094344562
1,1,0,4,1,1,1,1.945910149,2.995732274
1,1,1,3,1,1,1,2.48490665,3.091042453
1,0,0,5,10,1,0,0,1.945910149
1,1,0,3,1,1,0,1.945910149,2.995732274
1,1,0,4,5,1,0,1.386294361,2.302585093
1,0,1,1,4,1,0,1.791759469,2.995732274
0,0,0,4,5,1,0,3.135494216,4.86753445
1,0,0,4,11,1,0,1.609437912,2.302585093
1,1,0,4,5,1,1,1.386294361,1.945910149
1,1,0,3,1,1,0,3.401197382,3.688879454
1,1,0,2,1,1,0,1.098612289,2.708050201
1,0,0,1,4,1,1,2.772588722,3.688879454
0,0,0,4,0,0,1,0,0
1,1,0,4,5,1,0,1.098612289,2.302585093
1,0,1,3,0,0,0,0,0
1,0,0,4,4,1,1,2.197224577,2.708050201
1,1,0,4,5,1,1,1.945910149,3.688879454
1,1,1,3,5,1,1,2.564949357,3.218875825
1,0,0,5,10,1,0,0,0.693147181
1,0,0,3,5,1,0,1.945910149,2.995732274
1,1,0,4,10,1,0,2.302585093,2.995732274
1,0,1,1,6,1,0,1.791759469,2.995732274
0,0,0,4,0,0,0,0,0
1,0,0,4,6,1,0,1.791759469,2.48490665
1,1,0,4,1,1,1,1.791759469,1.791759469
1,0,0,3,4,1,0,1.791759469,3.912023005
1,0,0,2,5,1,0,1.098612289,2.302585093
1,0,0,1,4,1,1,1.791759469,3.401197382
1,1,0,4,1,1,0,1.098612289,2.48490665
0,0,1,3,0,0,0,0,0
1,0,0,4,4,1,1,2.079441542,2.708050201
1,1,0,4,1,1,1,1.945910149,2.995732274
1,1,1,3,1,1,1,2.708050201,3.218875825
1,1,0,3,1,1,0,1.945910149,2.708050201
1,0,0,4,5,1,0,2.302585093,2.995732274
1,0,1,1,5,1,0,2.302585093,3.401197382
1,1,0,4,5,1,0,2.833213344,3.33220451
1,1,0,4,5,1,1,1.609437912,2.302585093
1,1,0,3,5,1,0,2.708050201,3.401197382
1,0,0,2,0,0,0,0,0
1,1,0,1,5,1,1,1.386294361,2.302585093
1,1,0,4,10,1,0,2.995732274,2.708050201
0,0,1,3,0,0,0,0,0
1,0,0,4,6,1,1,3.33220451,3.80666249
1,1,0,4,5,1,1,1.945910149,3.401197382
1,0,1,3,5,1,1,2.833213344,3.091042453
1,0,0,3,11,1,0,0.693147181,2.302585093
1,1,0,4,1,1,0,2.197224577,3.401197382
1,0,1,1,0,0,0,0,0
1,1,0,4,1,1,0,2.890371758,2.995732274
1,1,0,4,1,1,1,1.609437912,2.079441542
1,1,0,3,1,1,0,3.401197382,3.688879454
1,0,0,2,0,0,0,0,0
1,1,0,1,4,1,1,0.693147181,2.302585093
1,0,0,4,5,1,0,1.609437912,2.944438979
1,1,0,4,5,1,1,2.48490665,3.401197382
1,0,0,4,10,1,1,1.791759469,2.995732274
1,0,0,5,1,1,0,0,1.945910149
1,0,0,3,6,1,0,0.693147181,2.302585093
1,1,0,4,5,1,0,2.397895273,2.995732274
0,0,1,1,0,0,0,0,0
1,1,0,4,5,1,0,2.890371758,3.258096538
1,1,0,4,5,1,1,1.791759469,2.079441542
1,1,0,3,10,1,0,1.609437912,3.401197382
0,0,0,2,0,0,0,0,0
1,0,0,1,5,1,1,0.693147181,2.708050201
0,0,0,4,10,1,0,1.386294361,3.091042453
1,1,0,4,1,1,1,2.564949357,3.401197382
1,0,0,4,5,1,1,1.791759469,2.708050201
1,0,0,5,8,1,0,1.098612289,2.995732274
1,0,0,3,5,1,0,2.079441542,2.995732274
0,1,0,4,10,1,0,2.079441542,3.401197382
0,0,1,1,9,1,0,3.688879454,4.382026635
0,0,0,4,10,1,0,3.912023005,3.931825633
0,0,0,4,10,1,1,4.304065093,4.248495242
1,0,0,3,5,1,0,3.218875825,3.688879454
0,0,0,2,0,0,0,0,0
1,0,0,1,4,1,1,1.609437912,3.401197382
0,0,0,4,5,1,0,1.609437912,2.302585093
1,0,0,4,4,1,1,0,1.609437912
0,0,0,4,0,0,1,0,0
1,0,0,5,5,1,0,1.098612289,2.708050201
0,1,0,3,1,1,0,1.945910149,2.708050201
0,0,0,4,5,1,0,2.995732274,2.995732274
0,1,1,1,5,1,0,3.713572067,4.700480366
